symbol,price,ema_200,above_ema,mom_3m,mom_6m,mom_12m,volatility,risk_adj_score,rank
AUBANK,819.5,652.967038260175,True,52.08722966566197,44.31636447161753,21.957136434031078,0.3210086981209079,126.84022438045903,1
BEL,427.54998779296875,319.0521302827749,True,51.39872416204445,46.28036422980182,40.12107457283947,0.3850923052553618,120.69781705186631,2
LAURUSLABS,776.0,582.7530677682404,True,27.58549613801007,26.21773112174388,80.52352598358574,0.359507205702949,119.7652095384418,3
JKCEMENT,6252.0,4975.748424314157,True,25.225331044138088,36.4365416600912,40.05687334015966,0.2790714957562268,118.38557156341817,4
AIIL,2567.89990234375,1849.4971964943743,True,43.14762276628657,36.23297260754534,124.22433437744922,0.5672860748984873,115.27891978451169,5
BHARTIARTL,2017.199951171875,1713.3465673842236,True,14.966372919174574,26.41474042099532,39.5076654534845,0.23153145241535864,111.27282876007223,6
REDINGTON,312.0,236.25890065729473,True,38.388315223442106,59.687360889184625,47.33016728741053,0.4268389144491129,111.19059613627947,7
ABCAPITAL,275.04998779296875,208.34614714673117,True,44.64134544386016,53.659211057524445,14.508739087218213,0.346894657574782,110.42779690232605,8
LLOYDSME,1553.699951171875,1204.0598053596386,True,16.92442492995554,23.108551597530468,112.44607648813871,0.43332306085321964,109.47040029182935,9
ERIS,1706.699951171875,1391.8576593346954,True,24.336132358312312,28.92583398259072,63.442321097679596,0.3472858501030412,107.82124188202344,10
CCL,884.4000244140625,701.6854819435713,True,54.88616889913529,21.26697370316193,49.418901117031844,0.4049708450103144,106.57587814435097,11
FORTIS,807.0499877929688,656.7324951954259,True,21.80048559152059,13.909666590397851,71.50035003163093,0.3243832127144511,105.87198105552844,12
NAVINFLUOR,4933.2001953125,4032.903693415399,True,16.331149724169315,50.607221062424614,36.89179218509615,0.32053542286185804,102.27281995360673,13
DIVISLAB,6906.5,5874.2703380013745,True,21.89375220614189,13.724683023217521,50.9938825351963,0.27809221968636716,101.30800952915868,14
BDL,1977.5999755859375,1442.1171894851236,True,52.88159722753045,75.03779673529989,22.941375920533137,0.5067122963035677,99.75343267384908,15
LTF,205.6300048828125,163.37912558140508,True,37.560246931651605,51.65977945233675,9.903471115467188,0.33668774836005505,99.47785337686523,16
BAJAJHLDNG,14227.0,11792.723862387193,True,23.80074267963941,20.372024709547798,63.78603016030144,0.3513164832405626,98.96380109555649,17
PFIZER,5784.0,4903.868246896518,True,42.90831928153223,8.978884156244838,26.4260406031668,0.285037028142366,97.4775377219453,18
BHARTIHEXA,1906.4000244140625,1502.3644055393072,True,31.753003818140503,28.49825126622445,73.9498420974722,0.45111568362503834,96.28468889097498,19
GODFRYPHLP,8699.0,6674.026226103854,True,21.265769847354843,72.76373654613178,107.54784374199437,0.6529202449092959,95.87646674611754,20
HDFCLIFE,785.0999755859375,695.3335181658148,True,13.089142681709486,27.555095127282115,31.047866157773818,0.23849453728826933,95.66864737859743,21
CUB,217.27000427246094,177.45288147490476,True,34.524185290133815,25.004319270654275,31.230177009044645,0.3208810764448078,95.61151978284525,22
LTFOODS,487.3500061035156,381.02670322345614,True,31.75182864152719,12.899306689651645,90.2253081195473,0.46320933241231305,94.20799331507006,23
KIMS,686.0499877929688,596.0484652814981,True,12.531774021059805,13.706806257299986,60.77664023135316,0.2922375031712183,93.61443909049643,24
EIDPARRY,1095.5999755859375,855.5656545680118,True,40.15606479174145,19.1646667927998,42.517069994918685,0.3703114517872766,93.34535413588759,25
MUTHOOTFIN,2662.800048828125,2165.830315064894,True,15.049846573186532,21.68519511885998,50.69819039820413,0.30021813471666486,92.38236700192017,26
COFORGE,1950.5999755859375,1585.7724132293454,True,25.657884182816005,1.2925110817996854,77.73557396536054,0.36964608224478496,91.90273863646533,27
GRSE,2973.89990234375,2017.0800559962595,True,73.02186513034776,81.2902494622987,29.804149736632056,0.6985704649906218,89.52135743571759,28
SRF,3230.5,2786.65420291383,True,8.34786336837736,46.26947901066545,31.53938359602848,0.30261511231487237,88.17046761078167,29
GILLETTE,10689.0,8798.572251796293,True,32.15221958675265,10.546174375651752,48.184938473092956,0.35237018119667535,86.50032498631604,30
